audit_id,question_id,stage,question,gold_answer,gold_supporting_facts,retrieved_evidence,covered_supporting_facts,automatic_three_class_label,automatic_stop_label,critic_stop_probability,critic_prediction,prediction_outcome,evidence_length_tokens,evidence_length_bucket,gold_supporting_fact_count,gold_supporting_fact_bucket,visible_supporting_fact_ratio_evaluation_only,human_sufficient_to_answer,human_label,human_notes,reviewer
1,hotpot_004664,dense@5,"Which Republican Chairman was born June 1, 1956? ",Gregg Harper,"[{""title"": ""Charlie Ross (state senator)"", ""sentence_id"": 5}, {""title"": ""Gregg Harper"", ""sentence_id"": 0}]","[article_aa663406131f9b2e99c6_b256_s0000-0006] TITLE: Ron Paul | SENTENCE_IDS: [0, 1, 2, 3, 4, 5, 6] | TEXT: Ronald Ernest Paul (born August 20, 1935) is an American author, physician, and former politician.  He was the U.S. Representative for Texas' 14th and 22nd congressional districts.  He represented the 22nd congressional district from 1976 to 1977 and from 1979 to 1985, and then represented the 14th congressional district, which included Galveston, from 1997 to 2013.  On three occasions, he sought the presidency of the United States: as the Libertarian Party nominee in 1988 and as a candidate in the Republican primaries of 2008 and 2012.  Paul is a critic of the federal government's fiscal policies, especially the existence of the Federal Reserve and the tax policy, as well as the military–industrial complex, and the War on Drugs.  Paul has also been a vocal critic of mass surveillance policies such as the USA PATRIOT Act and the NSA surveillance programs.  Paul was the first chairman of the conservative PAC Citizens for a Sound Economy and has been characterized as the ""intellectual godfather"" of the Tea Party movement.

[article_a257b06f6cebf925c843_b256_s0000-0003] TITLE: Mick Mulvaney | SENTENCE_IDS: [0, 1, 2, 3] | TEXT: John Michael Mulvaney ( ; born July 21, 1967) is an American politician in the Republican Party and Director of the Office of Management and Budget (OMB).  He was nominated as OMB Director by incoming President Donald Trump in December 2016 and confirmed by Senate vote (51–49) on .  Elected to the U.S. House of Representatives in 2010, he was the first Republican since 1883 to represent South Carolina 's 5 congressional district where he served until his confirmation as OMB Director in 2017.  Mulvaney served in the South Carolina General Assembly from 2007–2011, first in the State House of Representatives and then the State Senate.

[article_69c83903981b7bd73649_b256_s0000-0006] TITLE: Steve Wynn | SENTENCE_IDS: [0, 1, 2, 3, 4, 5, 6] | TEXT: Stephen Alan Wynn (""né"" Weinberg; born January 27, 1942) is an American real estate businessman and art collector.  He is known for his involvement in the American luxury casino and hotel industry.  Early in his career he oversaw the construction and operation of several notable Las Vegas and Atlantic City hotels, including the Golden Nugget, the Golden Nugget Atlantic City, The Mirage, Treasure Island, the Bellagio, and Beau Rivage in Mississippi, and he played a pivotal role in the resurgence and expansion of the Las Vegas Strip in the 1990s.  In 2000, Wynn sold his company Mirage Resorts to MGM Grand Inc., resulting in the formation of MGM Mirage (now MGM Resorts International).  Wynn afterwards took his company Wynn Resorts public in an initial public offering, and he remains Wynn Resorts' CEO and Chairman of the Board.  He is a member of the Republican Party.  Wynn is the finance chair of the Republican National Committee (RNC) since 2017.

[article_3e9ada66a8fc708cbad4_b256_s0000-0003] TITLE: Mike Conaway | SENTENCE_IDS: [0, 1, 2, 3] | TEXT: Kenneth Michael ""Mike"" Conaway ( ; born June 11, 1948) is the U.S. Representative for Texas 's 11th congressional district , serving since 2005.  He is a member of the Republican Party.  The district is located in West Texas and includes Midland, Odessa, San Angelo, Brownwood and Granbury.  Conaway was asked to lead the investigation into Russian interference in the 2016 United States elections (with assistance from Trey Gowdy and Tom Rooney) after the Intelligence Committee chair, Devin Nunes, recused himself.

[article_7992c8223261cf797ae3_b256_s0000-0003] TITLE: George H. W. Bush | SENTENCE_IDS: [0, 1, 2, 3] | TEXT: George Herbert Walker Bush (born June 12, 1924) is an American politician who was the 41st President of the United States from 1989 to 1993 and the 43rd Vice President of the United States from 1981 to 1989.  A member of the Republican Party, he was previously a congressman, ambassador, and Director of Central Intelligence.  He is the oldest living former President and Vice President.  Previously known as simply ""George Bush"", since 2001, Bush has often been referred to as ""George H. W. Bush"", ""Bush 41"", ""Bush the Elder"", or ""George Bush Senior"" to distinguish him from his eldest son, George W. Bush, the 43rd President of the United States.",[],insufficient,0,0.022583160549402237,0,correct_continue,980,513-1024,2,2,0.0,,,,
2,hotpot_000554,dense@5,What was the highest ranking in the United States for a single written by an English multi-instrumentalist?,25,"[{""title"": ""Magic Bus (song)"", ""sentence_id"": 0}, {""title"": ""Magic Bus (song)"", ""sentence_id"": 2}, {""title"": ""Pete Townshend"", ""sentence_id"": 0}]","[article_513d80d17080af78a114_b256_s0000-0004] TITLE: Slade | SENTENCE_IDS: [0, 1, 2, 3, 4] | TEXT: Slade are an English glam rock band from Wolverhampton.  They rose to prominence during the early 1970s with 17 consecutive top 20 hits and six number ones on the UK Singles Chart.  The ""British Hit Singles & Albums"" names them as the most successful British group of the 1970s based on sales of singles.  They were the first act to have three singles enter the charts at number one; all six of the band's chart-toppers were penned by Noddy Holder and Jim Lea.  As of 2006, total UK sales stand at 6,520,171, and their best-selling single, ""Merry Xmas Everybody"", has sold in excess of one million copies.

[article_6938021bd2b48f601844_b256_s0000-0003] TITLE: Seven Nation Army | SENTENCE_IDS: [0, 1, 2, 3] | TEXT: ""Seven Nation Army"" (also stylized as ""7 Nation Army"") is a song by American rock duo The White Stripes.  It was released as the lead single from their fourth studio album, ""Elephant"", in March 2003, and reached number one on the Modern Rock Tracks—maintaining that position for three weeks.  It also became the third best-performing song of the decade on the same chart.  It was well received commercially as well, and won the Grammy Award for Best Rock Song.

[article_9122fcee9dda6baaa1a1_b256_s0000-0008] TITLE: Elton John | SENTENCE_IDS: [0, 1, 2, 3, 4, 5, 6, 7, 8] | TEXT: Sir Elton Hercules John, (born Reginald Kenneth Dwight; 25 March 1947), is an English singer, pianist, and composer.  He has worked with lyricist Bernie Taupin as his songwriting partner since 1967; they have collaborated on more than 30 albums to date.  In his five-decade career Elton John has sold more than 300million records, making him one of the best-selling music artists in the world.  He has more than fifty Top 40 hits, including seven consecutive No. 1 US albums, 58 ""Billboard"" Top 40 singles, 27 Top 10, four No. 2 and nine No. 1.  For 31 consecutive years (1970–2000) he had at least one song in the ""Billboard"" Hot 100.  His tribute single, re-penned in dedication to the late Princess Diana, ""Candle in the Wind 1997"" sold over 33million copies worldwide and is the best-selling single in the history of the UK and US singles charts.  He has also composed music, produced records, and has occasionally acted in films.  John owned Watford Football Club from 1976 to 1987, and 1997 to 2002.  He is an honorary Life President of the club, and in 2014 had a stand named after him at the club's home stadium.

[article_2aa3ddd90b18a82cb226_b256_s0000-0002] TITLE: Come Together | SENTENCE_IDS: [0, 1, 2] | TEXT: ""Come Together"" is a song by the Beatles written primarily by John Lennon and credited to Lennon–McCartney.  The song is the opening track on the album ""Abbey Road"" and was also released as a single coupled with ""Something"".  The song reached the top of the charts in the United States and peaked at No. 4 in the United Kingdom.

[article_3b278d83ae5bd166b438_b256_s0000-0005] TITLE: Rod Stewart | SENTENCE_IDS: [0, 1, 2, 3, 4, 5] | TEXT: Sir Roderick David ""Rod"" Stewart, {'1': "", '2': "", '3': "", '4': ""} (born 10 January 1945) is a British rock singer and songwriter.  Born and raised in London, he is of Scottish and English ancestry.  Stewart is one of the best-selling music artists of all time, having sold over 100 million records worldwide.  He has had six consecutive number one albums in the UK and his tally of 62 UK hit singles includes 31 that reached the top ten, six of which gained the #1 position.  Stewart has had 16 top ten singles in the US, with four reaching #1 on the ""Billboard"" Hot 100.  He was knighted in the 2016 Birthday Honours for services to music and charity.",[],insufficient,0,0.022386817261576653,0,correct_continue,922,513-1024,3,3,0.0,,,,
3,hotpot_006683,dense@5,What famous composer leveraged microtonal music and unconventional methods of musicianship to create his contemporary reknown?,Ben Johnston,"[{""title"": ""Knocking Piece II"", ""sentence_id"": 0}, {""title"": ""Knocking Piece II"", ""sentence_id"": 2}, {""title"": ""Ben Johnston (composer)"", ""sentence_id"": 0}, {""title"": ""Ben Johnston (composer)"", ""sentence_id"": 1}]","[article_93c3b5c8aebf10ded5d5_b256_s0000-0002] TITLE: Ludwig van Beethoven | SENTENCE_IDS: [0, 1, 2] | TEXT: Ludwig van Beethoven ( , ; ] ; baptised 17 December 177026 March 1827) was a German composer and pianist.  A crucial figure in the transition between the Classical and Romantic eras in Western art music, he remains one of the most famous and influential of all composers.  His best-known compositions include 9 symphonies, 5 piano concertos, 1 violin concerto, 32 piano sonatas, 16 string quartets, his great Mass the ""Missa solemnis"", and one opera, ""Fidelio"".

[article_07ee2fda790adfcf394b_b256_s0000-0002] TITLE: Modest Mussorgsky | SENTENCE_IDS: [0, 1, 2] | TEXT: Modest Petrovich Mussorgsky (Russian: Моде́ст Петро́вич Му́соргский ; ] ; 21 March [O.S. 9 March] 1839 – 28 March [O.S. 16 March] 1881 ) was a Russian composer, one of the group known as ""The Five"".  He was an innovator of Russian music in the romantic period.  He strove to achieve a uniquely Russian musical identity, often in deliberate defiance of the established conventions of Western music.

[article_d717b072cfc2135db904_b256_s0000-0002] TITLE: Béla Bartók | SENTENCE_IDS: [0, 1, 2] | TEXT: Béla Viktor János Bartók ( ; ] ; 25 March 1881 – 26 September 1945) was a Hungarian composer, pianist and an ethnomusicologist.  He is considered one of the most important composers of the 20th century; he and Liszt are regarded as Hungary's greatest composers .  Through his collection and analytical study of folk music, he was one of the founders of comparative musicology, which later became ethnomusicology.

[article_a1b104ad9da431ef0ebb_b256_s0000-0000] TITLE: Wolfgang Amadeus Mozart | SENTENCE_IDS: [0] | TEXT: Wolfgang Amadeus Mozart ( ; ; ] ; 27 January 1756 – 5 December 1791), baptised as Johannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the Classical era.

[article_e1d90d06112089120549_b256_s0000-0001] TITLE: Terry Riley | SENTENCE_IDS: [0, 1] | TEXT: Terrence Mitchell ""Terry"" Riley ( ; born June 24, 1935) is an American composer and performing musician associated with the minimalist school of Western classical music, of which he was a pioneer.  His work is deeply influenced by both jazz and Indian classical music.",[],insufficient,0,0.03658389300107956,0,correct_continue,530,513-1024,4,4+,0.0,,,,
4,hotpot_004997,dense@5,Who was born in August and was a professor?,Fred MacMurray,"[{""title"": ""The Absent-Minded Professor"", ""sentence_id"": 2}, {""title"": ""Fred MacMurray"", ""sentence_id"": 0}]","[article_4ca568899d57c162c604_b256_s0000-0000] TITLE: Martin Luther | SENTENCE_IDS: [0] | TEXT: Martin Luther ( ; ] ; 10 November 1483 – 18 February 1546), O.S.A., was a German professor of theology, composer, priest, monk and a seminal figure in the Protestant Reformation.

